TIME	R1:1	R2:1	R3:1	Prev:1	R1:2	R2:2	R3:2	Prev:2	R1:3	R2:3	R3:3	Prev:3	
9400.00000016	0.01389669	0	0	0.27678979	0	0.01028912	0	0.27690111	0	0	0.01518871	0.27647426	
9500.00000016	0.01397938	0	0	0.27678998	0	0.01029478	0	0.27690111	0	0	0.01530356	0.27647436	
9600.00000016	0.01406256	0	0	0.27679017	0	0.01030044	0	0.27690111	0	0	0.01541928	0.27647445	
9700.00000017	0.01414623	0	0	0.27679036	0	0.0103061	0	0.27690111	0	0	0.01553585	0.27647454	
9800.00000017	0.01423038	0	0	0.27679055	0	0.01031176	0	0.2769011	0	0	0.01565329	0.27647464	
9900.00000017	0.01431503	0	0	0.27679074	0	0.01031743	0	0.2769011	0	0	0.0157716	0.27647473	
10000.00000017	0.01440018	0	0	0.27679094	0	0.0103231	0	0.2769011	0	0	0.01589079	0.27647483	
10100.00000017	0.01448582	0	0	0.27679113	0	0.01032877	0	0.27690109	0	0	0.01601087	0.27647493	
10200.00000018	0.01457197	0	0	0.27679133	0	0.01033445	0	0.27690109	0	0	0.01613185	0.27647503	
10300.00000018	0.01465862	0	0	0.27679152	0	0.01034012	0	0.27690109	0	0	0.01625372	0.27647512	
10400.00000018	0.01474578	0	0	0.27679172	0	0.01034581	0	0.27690109	0	0	0.01637649	0.27647522	
10500.00000018	0.01483345	0	0	0.27679192	0	0.01035149	0	0.27690108	0	0	0.01650018	0.27647532	
10600.00000018	0.01492163	0	0	0.27679212	0	0.01035718	0	0.27690108	0	0	0.01662479	0.27647542	
10700.00000019	0.01501033	0	0	0.27679232	0	0.01036287	0	0.27690108	0	0	0.01675032	0.27647553	
10800.00000019	0.01509954	0	0	0.27679253	0	0.01036857	0	0.27690107	0	0	0.01687678	0.27647563	
10900.00000019	0.01518928	0	0	0.27679273	0	0.01037426	0	0.27690107	0	0	0.01700418	0.27647573	
11000.00000019	0.01527955	0	0	0.27679294	0	0.01037997	0	0.27690107	0	0	0.01713253	0.27647583	
11100.0000002	0.01537034	0	0	0.27679314	0	0.01038567	0	0.27690107	0	0	0.01726182	0.27647594	
11200.0000002	0.01546167	0	0	0.27679335	0	0.01039138	0	0.27690106	0	0	0.01739208	0.27647604	
11300.0000002	0.01555352	0	0	0.27679356	0	0.01039709	0	0.27690106	0	0	0.0175233	0.27647615	
11400.0000002	0.01564592	0	0	0.27679377	0	0.0104028	0	0.27690106	0	0	0.01765549	0.27647626	
11500.0000002	0.01573885	0	0	0.27679398	0	0.01040852	0	0.27690105	0	0	0.01778867	0.27647637	
11600.00000021	0.01583233	0	0	0.27679419	0	0.01041423	0	0.27690105	0	0	0.01792283	0.27647647	
11700.00000021	0.01592636	0	0	0.27679441	0	0.01041996	0	0.27690105	0	0	0.01805798	0.27647658	
11800.00000021	0.01602093	0	0	0.27679462	0	0.01042568	0	0.27690105	0	0	0.01819413	0.27647669	
11900.00000021	0.01611606	0	0	0.27679484	0	0.01043141	0	0.27690104	0	0	0.01833129	0.2764768	
12000.00000022	0.01621174	0	0	0.27679506	0	0.01043714	0	0.27690104	0	0	0.01846946	0.27647692	
12100.00000022	0.01630798	0	0	0.27679527	0	0.01044288	0	0.27690104	0	0	0.01860866	0.27647703	
12200.00000022	0.01640478	0	0	0.27679549	0	0.01044862	0	0.27690103	0	0	0.01874888	0.27647714	
12300.00000022	0.01650215	0	0	0.27679572	0	0.01045436	0	0.27690103	0	0	0.01889014	0.27647726	
12400.00000022	0.01660008	0	0	0.27679594	0	0.0104601	0	0.27690103	0	0	0.01903245	0.27647737	
12500.00000023	0.01669859	0	0	0.27679616	0	0.01046585	0	0.27690103	0	0	0.0191758	0.27647749	
12600.00000023	0.01679767	0	0	0.27679639	0	0.0104716	0	0.27690102	0	0	0.01932022	0.2764776	
12700.00000023	0.01689733	0	0	0.27679661	0	0.01047735	0	0.27690102	0	0	0.0194657	0.27647772	
12800.00000023	0.01699757	0	0	0.27679684	0	0.01048311	0	0.27690102	0	0	0.01961225	0.27647784	
12900.00000024	0.0170984	0	0	0.27679707	0	0.01048887	0	0.27690101	0	0	0.01975988	0.27647796	
13000.00000024	0.01719981	0	0	0.2767973	0	0.01049463	0	0.27690101	0	0	0.01990861	0.27647808	
13100.00000024	0.01730181	0	0	0.27679753	0	0.0105004	0	0.27690101	0	0	0.02005843	0.2764782	
13200.00000024	0.01740441	0	0	0.27679777	0	0.01050617	0	0.276901	0	0	0.02020935	0.27647832	
13300.00000024	0.0175076	0	0	0.276798	0	0.01051194	0	0.276901	0	0	0.02036139	0.27647845	
13400.00000025	0.0176114	0	0	0.27679824	0	0.01051772	0	0.276901	0	0	0.02051454	0.27647857	
13500.00000025	0.0177158	0	0	0.27679847	0	0.0105235	0	0.276901	0	0	0.02066882	0.2764787	
13600.00000025	0.01782081	0	0	0.27679871	0	0.01052928	0	0.27690099	0	0	0.02082424	0.27647882	
13700.00000025	0.01792642	0	0	0.27679895	0	0.01053506	0	0.27690099	0	0	0.0209808	0.27647895	
13800.00000025	0.01803266	0	0	0.27679919	0	0.01054085	0	0.27690099	0	0	0.02113852	0.27647908	
13900.00000026	0.01813951	0	0	0.27679944	0	0.01054664	0	0.27690098	0	0	0.02129739	0.27647921	
14000.00000026	0.01824698	0	0	0.27679968	0	0.01055244	0	0.27690098	0	0	0.02145743	0.27647933	
14100.00000026	0.01835508	0	0	0.27679993	0	0.01055823	0	0.27690098	0	0	0.02161865	0.27647947	
14200.00000026	0.0184638	0	0	0.27680017	0	0.01056404	0	0.27690098	0	0	0.02178105	0.2764796	
14300.00000027	0.01857316	0	0	0.27680042	0	0.01056984	0	0.27690097	0	0	0.02194464	0.27647973	
14400.00000027	0.01868315	0	0	0.27680067	0	0.01057565	0	0.27690097	0	0	0.02210944	0.27647986	
14500.00000027	0.01879379	0	0	0.27680092	0	0.01058146	0	0.27690097	0	0	0.02227544	0.27648	
14600.00000027	0.01890506	0	0	0.27680118	0	0.01058727	0	0.27690096	0	0	0.02244267	0.27648013	
