TIME	R3:1	R3:2	R3:3	R3:4	R3:5	R3:6	R3:7	R3:8	R3:9	R3:10	R3:11	R3:12	R3:13	R3:14	
10400.00000018	0.02246478	0.01606115	0.01146363	0.00713736	0.00449988	0.00272295	0.00156092	0.01486732	0.01057134	0.00751131	0.00465266	0.00292151	0.00176137	0.0010062	
10500.00000018	0.02274566	0.01618313	0.01149381	0.00710635	0.00444986	0.00267273	0.00151956	0.01496194	0.01058575	0.00748393	0.00460316	0.0028707	0.00171789	0.00097331	
10600.00000018	0.02302994	0.016306	0.01152407	0.00707547	0.0044004	0.00262343	0.0014793	0.01505715	0.01060018	0.00745665	0.00455419	0.00282077	0.00167548	0.0009415	
10700.00000019	0.02331764	0.01642978	0.0115544	0.00704473	0.00435148	0.00257504	0.0014401	0.01515296	0.01061464	0.00742948	0.00450573	0.0027717	0.00163412	0.00091072	
10800.00000019	0.0236088	0.01655446	0.01158481	0.00701412	0.00430311	0.00252754	0.00140193	0.01524937	0.01062911	0.0074024	0.00445779	0.00272348	0.00159377	0.00088095	
10900.00000019	0.02390347	0.01668007	0.0116153	0.00698365	0.00425528	0.00248092	0.00136478	0.01534638	0.0106436	0.00737542	0.00441036	0.00267611	0.00155442	0.00085215	
11000.00000019	0.02420169	0.0168066	0.01164586	0.0069533	0.00420797	0.00243515	0.00132861	0.015444	0.01065811	0.00734853	0.00436342	0.00262955	0.00151604	0.00082429	
11100.0000002	0.02450348	0.01693406	0.0116765	0.00692309	0.00416119	0.00239023	0.0012934	0.01554223	0.01067264	0.00732174	0.00431699	0.0025838	0.00147861	0.00079734	
11200.0000002	0.0248089	0.01706246	0.01170722	0.00689301	0.00411493	0.00234613	0.00125912	0.01564108	0.01068719	0.00729505	0.00427105	0.00253885	0.0014421	0.00077127	
11300.0000002	0.02511798	0.0171918	0.01173802	0.00686306	0.00406918	0.00230285	0.00122575	0.01574054	0.01070176	0.00726846	0.00422559	0.00249467	0.00140649	0.00074605	
11400.0000002	0.02543076	0.01732209	0.01176889	0.00683325	0.00402394	0.00226036	0.00119326	0.01584063	0.01071635	0.00724196	0.00418062	0.00245126	0.00137176	0.00072166	
11500.0000002	0.02574729	0.01745334	0.01179985	0.00680356	0.0039792	0.00221866	0.00116163	0.01594134	0.01073096	0.00721556	0.00413612	0.00240861	0.00133789	0.00069807	
11600.00000021	0.0260676	0.01758555	0.01183088	0.006774	0.00393496	0.00217772	0.00113084	0.01604268	0.01074559	0.00718926	0.0040921	0.0023667	0.00130485	0.00067524	
11700.00000021	0.02639173	0.01771873	0.01186199	0.00674457	0.00389121	0.00213754	0.00110086	0.01614466	0.01076024	0.00716305	0.00404854	0.00232551	0.00127262	0.00065316	
11800.00000021	0.02671974	0.01785288	0.01189317	0.00671527	0.00384794	0.0020981	0.00107168	0.01624727	0.01077491	0.00713693	0.00400544	0.00228504	0.00124119	0.0006318	
11900.00000021	0.02705165	0.01798802	0.01192444	0.00668609	0.00380516	0.00205939	0.00104327	0.01635053	0.0107896	0.00711091	0.0039628	0.00224527	0.00121054	0.00061115	
