TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	R1:3	R2:3	R3:3	R1:4	R2:4	R3:4	R1:5	R2:5	R3:5	R1:6	R2:6	R3:6	
9100.00000015	0.01009411	0	0	0.01380226	0	0	0	0.01022659	0	0	0.01001638	0	0	0	0.01077918	0	0	0.01380226	
9200.00000015	0.01009478	0	0	0.01389016	0	0	0	0.0102318	0	0	0.01001638	0	0	0	0.01079613	0	0	0.01389016	
9300.00000016	0.01009545	0	0	0.0139786	0	0	0	0.01023701	0	0	0.01001638	0	0	0	0.01081309	0	0	0.0139786	
9400.00000016	0.01009612	0	0	0.0140676	0	0	0	0.01024223	0	0	0.01001638	0	0	0	0.01083009	0	0	0.0140676	
9500.00000016	0.01009679	0	0	0.01415716	0	0	0	0.01024744	0	0	0.01001638	0	0	0	0.01084711	0	0	0.01415716	
9600.00000016	0.01009746	0	0	0.01424729	0	0	0	0.01025266	0	0	0.01001638	0	0	0	0.01086416	0	0	0.01424729	
9700.00000017	0.01009813	0	0	0.01433797	0	0	0	0.01025788	0	0	0.01001638	0	0	0	0.01088123	0	0	0.01433797	
9800.00000017	0.0100988	0	0	0.01442923	0	0	0	0.0102631	0	0	0.01001638	0	0	0	0.01089833	0	0	0.01442923	
9900.00000017	0.01009948	0	0	0.01452106	0	0	0	0.01026833	0	0	0.01001638	0	0	0	0.01091546	0	0	0.01452106	
10000.00000017	0.01010015	0	0	0.01461346	0	0	0	0.01027356	0	0	0.01001638	0	0	0	0.01093262	0	0	0.01461346	
10100.00000017	0.01010082	0	0	0.01470645	0	0	0	0.01027879	0	0	0.01001638	0	0	0	0.0109498	0	0	0.01470645	
10200.00000018	0.01010149	0	0	0.01480001	0	0	0	0.01028403	0	0	0.01001638	0	0	0	0.010967	0	0	0.01480001	
10300.00000018	0.01010216	0	0	0.01489416	0	0	0	0.01028926	0	0	0.01001638	0	0	0	0.01098424	0	0	0.01489416	
10400.00000018	0.01010283	0	0	0.01498891	0	0	0	0.0102945	0	0	0.01001638	0	0	0	0.0110015	0	0	0.01498891	
10500.00000018	0.0101035	0	0	0.01508424	0	0	0	0.01029974	0	0	0.01001638	0	0	0	0.01101878	0	0	0.01508424	
10600.00000018	0.01010418	0	0	0.01518017	0	0	0	0.01030499	0	0	0.01001638	0	0	0	0.0110361	0	0	0.01518017	
10700.00000019	0.01010485	0	0	0.01527671	0	0	0	0.01031024	0	0	0.01001638	0	0	0	0.01105344	0	0	0.01527671	
10800.00000019	0.01010552	0	0	0.01537385	0	0	0	0.01031549	0	0	0.01001638	0	0	0	0.01107081	0	0	0.01537385	
10900.00000019	0.01010619	0	0	0.01547159	0	0	0	0.01032074	0	0	0.01001638	0	0	0	0.0110882	0	0	0.01547159	
11000.00000019	0.01010686	0	0	0.01556995	0	0	0	0.01032599	0	0	0.01001638	0	0	0	0.01110562	0	0	0.01556995	
11100.0000002	0.01010753	0	0	0.01566892	0	0	0	0.01033125	0	0	0.01001638	0	0	0	0.01112307	0	0	0.01566892	
11200.0000002	0.01010821	0	0	0.01576851	0	0	0	0.01033651	0	0	0.01001638	0	0	0	0.01114055	0	0	0.01576851	
11300.0000002	0.01010888	0	0	0.01586873	0	0	0	0.01034178	0	0	0.01001638	0	0	0	0.01115805	0	0	0.01586873	
11400.0000002	0.01010955	0	0	0.01596957	0	0	0	0.01034704	0	0	0.01001638	0	0	0	0.01117558	0	0	0.01596957	
11500.0000002	0.01011022	0	0	0.01607104	0	0	0	0.01035231	0	0	0.01001638	0	0	0	0.01119314	0	0	0.01607104	
11600.00000021	0.01011089	0	0	0.01617314	0	0	0	0.01035758	0	0	0.01001638	0	0	0	0.01121073	0	0	0.01617314	
11700.00000021	0.01011157	0	0	0.01627589	0	0	0	0.01036285	0	0	0.01001638	0	0	0	0.01122834	0	0	0.01627589	
11800.00000021	0.01011224	0	0	0.01637927	0	0	0	0.01036813	0	0	0.01001638	0	0	0	0.01124598	0	0	0.01637927	
11900.00000021	0.01011291	0	0	0.0164833	0	0	0	0.01037341	0	0	0.01001638	0	0	0	0.01126364	0	0	0.0164833	
12000.00000022	0.01011358	0	0	0.01658798	0	0	0	0.01037869	0	0	0.01001638	0	0	0	0.01128134	0	0	0.01658798	
12100.00000022	0.01011426	0	0	0.01669332	0	0	0	0.01038398	0	0	0.01001638	0	0	0	0.01129906	0	0	0.01669332	
12200.00000022	0.01011493	0	0	0.01679931	0	0	0	0.01038926	0	0	0.01001638	0	0	0	0.01131681	0	0	0.01679931	
12300.00000022	0.0101156	0	0	0.01690596	0	0	0	0.01039455	0	0	0.01001638	0	0	0	0.01133458	0	0	0.01690596	
12400.00000022	0.01011627	0	0	0.01701328	0	0	0	0.01039985	0	0	0.01001638	0	0	0	0.01135239	0	0	0.01701328	
12500.00000023	0.01011694	0	0	0.01712127	0	0	0	0.01040514	0	0	0.01001638	0	0	0	0.01137022	0	0	0.01712127	
12600.00000023	0.01011762	0	0	0.01722993	0	0	0	0.01041044	0	0	0.01001638	0	0	0	0.01138808	0	0	0.01722993	
12700.00000023	0.01011829	0	0	0.01733927	0	0	0	0.01041574	0	0	0.01001638	0	0	0	0.01140597	0	0	0.01733927	
12800.00000023	0.01011896	0	0	0.01744929	0	0	0	0.01042104	0	0	0.01001638	0	0	0	0.01142388	0	0	0.01744929	
12900.00000024	0.01011964	0	0	0.01756	0	0	0	0.01042635	0	0	0.01001638	0	0	0	0.01144182	0	0	0.01756	
13000.00000024	0.01012031	0	0	0.01767139	0	0	0	0.01043166	0	0	0.01001638	0	0	0	0.01145979	0	0	0.01767139	
13100.00000024	0.01012098	0	0	0.01778348	0	0	0	0.01043697	0	0	0.01001638	0	0	0	0.01147779	0	0	0.01778348	
13200.00000024	0.01012165	0	0	0.01789627	0	0	0	0.01044228	0	0	0.01001638	0	0	0	0.01149582	0	0	0.01789627	
13300.00000024	0.01012233	0	0	0.01800976	0	0	0	0.0104476	0	0	0.01001638	0	0	0	0.01151387	0	0	0.01800976	
13400.00000025	0.010123	0	0	0.01812395	0	0	0	0.01045292	0	0	0.01001638	0	0	0	0.01153195	0	0	0.01812395	
13500.00000025	0.01012367	0	0	0.01823886	0	0	0	0.01045824	0	0	0.01001638	0	0	0	0.01155006	0	0	0.01823886	
13600.00000025	0.01012434	0	0	0.01835448	0	0	0	0.01046356	0	0	0.01001638	0	0	0	0.0115682	0	0	0.01835448	
13700.00000025	0.01012502	0	0	0.01847082	0	0	0	0.01046889	0	0	0.01001638	0	0	0	0.01158637	0	0	0.01847082	
13800.00000025	0.01012569	0	0	0.01858789	0	0	0	0.01047422	0	0	0.01001638	0	0	0	0.01160456	0	0	0.01858789	
13900.00000026	0.01012636	0	0	0.01870568	0	0	0	0.01047955	0	0	0.01001638	0	0	0	0.01162279	0	0	0.01870568	
14000.00000026	0.01012704	0	0	0.0188242	0	0	0	0.01048489	0	0	0.01001638	0	0	0	0.01164104	0	0	0.0188242	
14100.00000026	0.01012771	0	0	0.01894346	0	0	0	0.01049023	0	0	0.01001638	0	0	0	0.01165932	0	0	0.01894346	
14200.00000026	0.01012838	0	0	0.01906346	0	0	0	0.01049557	0	0	0.01001638	0	0	0	0.01167762	0	0	0.01906346	
14300.00000027	0.01012906	0	0	0.01918421	0	0	0	0.01050091	0	0	0.01001638	0	0	0	0.01169596	0	0	0.01918421	
14400.00000027	0.01012973	0	0	0.01930571	0	0	0	0.01050626	0	0	0.01001638	0	0	0	0.01171432	0	0	0.01930571	
14500.00000027	0.0101304	0	0	0.01942796	0	0	0	0.01051161	0	0	0.01001638	0	0	0	0.01173272	0	0	0.01942796	
14600.00000027	0.01013108	0	0	0.01955097	0	0	0	0.01051696	0	0	0.01001638	0	0	0	0.01175114	0	0	0.01955097	
