TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	R1:3	R2:3	R3:3	
12600.00000023	0.01777395	0	0	0.0170916	0	0	0.01011762	0	0	
12700.00000023	0.01789138	0	0	0.01720013	0	0	0.01011829	0	0	
12800.00000023	0.01800957	0	0	0.01730933	0	0	0.01011896	0	0	
12900.00000024	0.01812853	0	0	0.01741922	0	0	0.01011964	0	0	
13000.00000024	0.01824826	0	0	0.01752979	0	0	0.01012031	0	0	
13100.00000024	0.01836877	0	0	0.01764105	0	0	0.01012098	0	0	
13200.00000024	0.01849005	0	0	0.017753	0	0	0.01012165	0	0	
13300.00000024	0.01861212	0	0	0.01786565	0	0	0.01012233	0	0	
13400.00000025	0.01873499	0	0	0.01797901	0	0	0.010123	0	0	
13500.00000025	0.01885865	0	0	0.01809307	0	0	0.01012367	0	0	
13600.00000025	0.0189831	0	0	0.01820783	0	0	0.01012434	0	0	
13700.00000025	0.01910837	0	0	0.01832332	0	0	0.01012502	0	0	
13800.00000025	0.01923444	0	0	0.01843952	0	0	0.01012569	0	0	
13900.00000026	0.01936133	0	0	0.01855644	0	0	0.01012636	0	0	
14000.00000026	0.01948904	0	0	0.0186741	0	0	0.01012704	0	0	
14100.00000026	0.01961757	0	0	0.01879248	0	0	0.01012771	0	0	
14200.00000026	0.01974694	0	0	0.0189116	0	0	0.01012838	0	0	
14300.00000027	0.01987714	0	0	0.01903146	0	0	0.01012906	0	0	
14400.00000027	0.02000818	0	0	0.01915207	0	0	0.01012973	0	0	
14500.00000027	0.02014007	0	0	0.01927342	0	0	0.0101304	0	0	
14600.00000027	0.02027281	0	0	0.01939553	0	0	0.01013108	0	0	
