TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	
8600.00000014	0	0.01102598	0	0	0.01001638	0	
8700.00000014	0	0.01104878	0	0	0.01001638	0	
8800.00000015	0	0.01107162	0	0	0.01001638	0	
8900.00000015	0	0.0110945	0	0	0.01001638	0	
9000.00000015	0	0.01111743	0	0	0.01001638	0	
9100.00000015	0	0.01114041	0	0	0.01001638	0	
9200.00000015	0	0.01116344	0	0	0.01001638	0	
9300.00000016	0	0.01118651	0	0	0.01001638	0	
9400.00000016	0	0.01120963	0	0	0.01001638	0	
9500.00000016	0	0.0112328	0	0	0.01001638	0	
9600.00000016	0	0.01125601	0	0	0.01001638	0	
9700.00000017	0	0.01127927	0	0	0.01001638	0	
9800.00000017	0	0.01130258	0	0	0.01001638	0	
9900.00000017	0	0.01132594	0	0	0.01001638	0	
10000.00000017	0	0.01134934	0	0	0.01001638	0	
10100.00000017	0	0.01137279	0	0	0.01001638	0	
10200.00000018	0	0.01139629	0	0	0.01001638	0	
10300.00000018	0	0.01141984	0	0	0.01001638	0	
10400.00000018	0	0.01144343	0	0	0.01001638	0	
10500.00000018	0	0.01146707	0	0	0.01001638	0	
10600.00000018	0	0.01149076	0	0	0.01001638	0	
10700.00000019	0	0.0115145	0	0	0.01001638	0	
10800.00000019	0	0.01153829	0	0	0.01001638	0	
10900.00000019	0	0.01156212	0	0	0.01001638	0	
11000.00000019	0	0.01158601	0	0	0.01001638	0	
11100.0000002	0	0.01160994	0	0	0.01001638	0	
11200.0000002	0	0.01163392	0	0	0.01001638	0	
11300.0000002	0	0.01165795	0	0	0.01001638	0	
11400.0000002	0	0.01168203	0	0	0.01001638	0	
11500.0000002	0	0.01170616	0	0	0.01001638	0	
11600.00000021	0	0.01173033	0	0	0.01001638	0	
11700.00000021	0	0.01175456	0	0	0.01001638	0	
11800.00000021	0	0.01177884	0	0	0.01001638	0	
11900.00000021	0	0.01180316	0	0	0.01001638	0	
12000.00000022	0	0.01182753	0	0	0.01001638	0	
12100.00000022	0	0.01185196	0	0	0.01001638	0	
12200.00000022	0	0.01187643	0	0	0.01001638	0	
12300.00000022	0	0.01190095	0	0	0.01001638	0	
12400.00000022	0	0.01192553	0	0	0.01001638	0	
12500.00000023	0	0.01195015	0	0	0.01001638	0	
12600.00000023	0	0.01197482	0	0	0.01001638	0	
12700.00000023	0	0.01199954	0	0	0.01001638	0	
12800.00000023	0	0.01202432	0	0	0.01001638	0	
12900.00000024	0	0.01204914	0	0	0.01001638	0	
13000.00000024	0	0.01207401	0	0	0.01001638	0	
13100.00000024	0	0.01209894	0	0	0.01001638	0	
13200.00000024	0	0.01212391	0	0	0.01001638	0	
13300.00000024	0	0.01214894	0	0	0.01001638	0	
13400.00000025	0	0.01217402	0	0	0.01001638	0	
13500.00000025	0	0.01219914	0	0	0.01001638	0	
13600.00000025	0	0.01222432	0	0	0.01001638	0	
13700.00000025	0	0.01224955	0	0	0.01001638	0	
13800.00000025	0	0.01227483	0	0	0.01001638	0	
13900.00000026	0	0.01230016	0	0	0.01001638	0	
14000.00000026	0	0.01232555	0	0	0.01001638	0	
14100.00000026	0	0.01235098	0	0	0.01001638	0	
14200.00000026	0	0.01237647	0	0	0.01001638	0	
14300.00000027	0	0.01240201	0	0	0.01001638	0	
14400.00000027	0	0.0124276	0	0	0.01001638	0	
14500.00000027	0	0.01245324	0	0	0.01001638	0	
14600.00000027	0	0.01247893	0	0	0.01001638	0	
